uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink,769 - Cult of the Dead,771 - General Character of Religion,772 - Cosmology,773 - Mythology,774 - Animism,775 - Eschatology,776 - Spirits and Gods,777 - Luck and Chance,778 - Sacred Objects and Places,779 - Theological Systems,787 - Revelation and Divination,match_flag
156a4442-a5d6-4bc8-9d3d-c16dd47f0107,"Birket-Smith, Kaj, 1893-1977","The Eyak Indians of the Copper River Delta, Alaska",9999,251,Monograph,Eyak,North America,Arctic and Subarctic,hunter-gatherers,,773,https://ehrafworldcultures.yale.edu/sres/156a4442-a5d6-4bc8-9d3d-c16dd47f0107,0,0,0,1,0,0,0,0,0,0,0,False
a4e74323-1aee-45c1-877b-0bf0efb2f368,"Herskovits, Melville Jean, 1895-1963",Rebel destiny: among the bush Negroes of Dutch Guiana,1934,[214],Monograph,Saramaka,South America,Amazon and Orinoco,other subsistence combinations,,"765,775",https://ehrafworldcultures.yale.edu/sres/a4e74323-1aee-45c1-877b-0bf0efb2f368,0,0,0,0,0,1,0,0,0,0,0,False
48977526-ef0a-40ad-959f-a2d9196c7c9c,"Underhill, Ruth, 1883-1984",Papago Indian religion,1946,295,Monograph,O'odham,North America,Southwest and Basin,other subsistence combinations,,"534,753,776",https://ehrafworldcultures.yale.edu/sres/48977526-ef0a-40ad-959f-a2d9196c7c9c,0,0,0,0,0,0,1,0,0,0,0,False
91eead0e-138b-4a17-9333-89ec97d111b1,"Spier, Leslie, 1893-1961",Klamath ethnography,1930,255,Monograph,Klamath,North America,Plains and Plateau,hunter-gatherers,,"171,562,756,787",https://ehrafworldcultures.yale.edu/sres/91eead0e-138b-4a17-9333-89ec97d111b1,0,0,0,0,0,0,0,0,0,0,1,False
5d3491af-c8e1-4395-9b49-c2aadda656c3,"Lamphere, Louise",Symbolic elements in Navajo ritual,1969,281,Journal Article,Navajo,North America,Southwest and Basin,agro-pastoralists,,"121,751,753,755,772,000",https://ehrafworldcultures.yale.edu/sres/5d3491af-c8e1-4395-9b49-c2aadda656c3,0,0,1,0,0,0,0,0,0,0,0,False
c63f82a7-b74f-4d0c-b0da-4d4ccea5e2b7,"Gelfand, Michael","Ukama, reflections on Shona and Western cultures in
         Zimbabwe",1981,50,Monograph,Shona,Africa,Southern Africa,agro-pastoralists,,"124,177,178,771",https://ehrafworldcultures.yale.edu/sres/c63f82a7-b74f-4d0c-b0da-4d4ccea5e2b7,0,1,0,0,0,0,0,0,0,0,0,False
4a46e934-94fa-41d7-b332-3ff497afbe2b,"Henderson, Helen Kreider",Ritual roles of women in Onitsha Ibo society,1970,431,Monograph,Igbo,Africa,Western Africa,horticulturalists,,"765,769",https://ehrafworldcultures.yale.edu/sres/4a46e934-94fa-41d7-b332-3ff497afbe2b,1,0,0,0,0,0,0,0,0,0,0,False
5ed85cbb-8996-4eb2-ba98-b2b4f0ec472b,"Soustelle, Jacques, 1912-","The daily life of the Aztecs on the eve of the Spanish
         conquest",1961,171,Monograph,Aztecs,Middle America and the Caribbean,Central Mexico,intensive agriculturalists,,"776,792,871",https://ehrafworldcultures.yale.edu/sres/5ed85cbb-8996-4eb2-ba98-b2b4f0ec472b,0,0,0,0,0,0,1,0,0,0,0,False
307258a0-da57-4abf-adf2-c7150d806a21,"Bastian, Misty L.","The world as marketplace: historical, cosmological, and
         popular constructions of the Onitsha market system",1992,149,Monograph,Igbo,Africa,Western Africa,horticulturalists,,"121,771,789",https://ehrafworldcultures.yale.edu/sres/307258a0-da57-4abf-adf2-c7150d806a21,0,1,0,0,0,0,0,0,0,0,0,False
957db50a-f35b-4fe3-93bf-914471d8d065,"Izikowitz, Karl Gustav, 1903-1984",Lamet: hill peasants in French Indochina,1951,86,Monograph,Rmeet,Asia,Southeast Asia,horticulturalists,,"173,614,773",https://ehrafworldcultures.yale.edu/sres/957db50a-f35b-4fe3-93bf-914471d8d065,0,0,0,1,0,0,0,0,0,0,0,False
c8b268eb-2ada-42cb-84d6-83b9da0d96c4,"Gifford, Edward Winslow, 1887-1959",Coast Yuki myths,1937,[115],Journal Article,Yuki,North America,Northwest Coast and California,hunter-gatherers,,"113,171,773",https://ehrafworldcultures.yale.edu/sres/c8b268eb-2ada-42cb-84d6-83b9da0d96c4,0,0,0,1,0,0,0,0,0,0,0,False
447053cc-98d0-4f01-8870-f0f3c93e9150,"Dieterlen, Germaine",The souls of the Dogons,1941,149,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"774,775",https://ehrafworldcultures.yale.edu/sres/447053cc-98d0-4f01-8870-f0f3c93e9150,0,0,0,0,1,1,0,0,0,0,0,False
8d262fd5-708f-457f-9e81-93f18345154b,"Weltfish,Gene, 1902-","The lost universe: with a closing chapter on 'The universe
         regained'",1965,276,Monograph,Pawnee,North America,Plains and Plateau,other subsistence combinations,,"787,825",https://ehrafworldcultures.yale.edu/sres/8d262fd5-708f-457f-9e81-93f18345154b,0,0,0,0,0,0,0,0,0,0,1,False
5f770acf-0169-4e98-aebc-b45c12b72313,"De Laguna, Frederica, 1906-2204","Under Mount Saint Elias: the history and culture of the
         Yakutat Tlingit",1972,[p.758-c],Monograph,Tlingit,North America,Northwest Coast and California,hunter-gatherers,,"756,776,826",https://ehrafworldcultures.yale.edu/sres/5f770acf-0169-4e98-aebc-b45c12b72313,0,0,0,0,0,0,1,0,0,0,0,False
